,x,y,z,field
126,-0.75,-0.3734375000000001,-22.5,-0.025
127,-0.75,0.0015624999999999112,-22.5,-0.025
128,-0.75,0.3765624999999999,-22.5,-0.025
129,-0.75,0.7515624999999999,-22.5,-0.026
130,-0.375,-0.7484375000000001,-22.5,-0.019
131,-0.375,-0.3734375000000001,-22.5,-0.019
132,-0.375,0.0015624999999999112,-22.5,-0.019
133,-0.375,0.3765624999999999,-22.5,-0.02
134,-0.375,0.7515624999999999,-22.5,-0.02
135,0.0,-0.7484375000000001,-22.5,-0.01
136,0.0,-0.3734375000000001,-22.5,-0.013
137,0.0,0.0015624999999999112,-22.5,-0.013
138,0.0,0.3765624999999999,-22.5,-0.013
139,0.0,0.7515624999999999,-22.5,-0.014
140,0.375,-0.7484375000000001,-22.5,-0.004
141,0.375,-0.3734375000000001,-22.5,-0.004
142,0.375,0.0015624999999999112,-22.5,-0.004
143,0.375,0.3765624999999999,-22.5,-0.005
144,0.375,0.7515624999999999,-22.5,-0.005
145,0.75,-0.7484375000000001,-22.5,0.002
146,0.75,-0.3734375000000001,-22.5,0.002
147,0.75,0.0015624999999999112,-22.5,0.002
148,0.75,0.3765624999999999,-22.5,0.001
149,0.75,0.7515624999999999,-22.5,0.001
150,-0.75,-0.7484375000000001,-21.0,-0.03
151,-0.75,-0.3734375000000001,-21.0,-0.031
152,-0.75,0.0015624999999999112,-21.0,-0.033
153,-0.75,0.3765624999999999,-21.0,-0.033
154,-0.75,0.7515624999999999,-21.0,-0.034
155,-0.375,-0.7484375000000001,-21.0,-0.021
156,-0.375,-0.3734375000000001,-21.0,-0.023
157,-0.375,0.0015624999999999112,-21.0,-0.024
158,-0.375,0.3765624999999999,-21.0,-0.024
159,-0.375,0.7515624999999999,-21.0,-0.024
160,0.0,-0.7484375000000001,-21.0,-0.01
161,0.0,-0.3734375000000001,-21.0,-0.013
162,0.0,0.0015624999999999112,-21.0,-0.013
163,0.0,0.3765624999999999,-21.0,-0.014
164,0.0,0.7515624999999999,-21.0,-0.015
165,0.375,-0.7484375000000001,-21.0,0.001
166,0.375,-0.3734375000000001,-21.0,0.0
167,0.375,0.0015624999999999112,-21.0,0.0
168,0.375,0.3765624999999999,-21.0,-0.002
169,0.375,0.7515624999999999,-21.0,-0.003
170,0.75,-0.7484375000000001,-21.0,0.009
171,0.75,-0.3734375000000001,-21.0,0.008
172,0.75,0.0015624999999999112,-21.0,0.008
173,0.75,0.3765624999999999,-21.0,0.007
174,0.75,0.7515624999999999,-21.0,0.006
175,-0.75,-0.7484375000000001,-19.5,-0.041
176,-0.75,-0.3734375000000001,-19.5,-0.043
177,-0.75,0.0015624999999999112,-19.5,-0.044
178,-0.75,0.3765624999999999,-19.5,-0.045
179,-0.75,0.7515624999999999,-19.5,-0.045
180,-0.375,-0.7484375000000001,-19.5,-0.026
181,-0.375,-0.3734375000000001,-19.5,-0.028
182,-0.375,0.0015624999999999112,-19.5,-0.029
183,-0.375,0.3765624999999999,-19.5,-0.03
184,-0.375,0.7515624999999999,-19.5,-0.031
185,0.0,-0.7484375000000001,-19.5,-0.009
186,0.0,-0.3734375000000001,-19.5,-0.01
187,0.0,0.0015624999999999112,-19.5,-0.013
188,0.0,0.3765624999999999,-19.5,-0.014
189,0.0,0.7515624999999999,-19.5,-0.015
190,0.375,-0.7484375000000001,-19.5,0.008
191,0.375,-0.3734375000000001,-19.5,0.007
192,0.375,0.0015624999999999112,-19.5,0.006
193,0.375,0.3765624999999999,-19.5,0.004
194,0.375,0.7515624999999999,-19.5,0.003
195,0.75,-0.7484375000000001,-19.5,0.022
196,0.75,-0.3734375000000001,-19.5,0.021
197,0.75,0.0015624999999999112,-19.5,0.019
198,0.75,0.3765624999999999,-19.5,0.018
199,0.75,0.7515624999999999,-19.5,0.017
200,-0.75,-0.7484375000000001,-18.0,-0.045
201,-0.75,-0.3734375000000001,-18.0,-0.046
202,-0.75,0.0015624999999999112,-18.0,-0.048
203,-0.75,0.3765624999999999,-18.0,-0.049
204,-0.75,0.7515624999999999,-18.0,-0.05
205,-0.375,-0.7484375000000001,-18.0,-0.028
206,-0.375,-0.3734375000000001,-18.0,-0.03
207,-0.375,0.0015624999999999112,-18.0,-0.031
208,-0.375,0.3765624999999999,-18.0,-0.033
209,-0.375,0.7515624999999999,-18.0,-0.034
210,0.0,-0.7484375000000001,-18.0,-0.009
211,0.0,-0.3734375000000001,-18.0,-0.01
212,0.0,0.0015624999999999112,-18.0,-0.013
213,0.0,0.3765624999999999,-18.0,-0.014
214,0.0,0.7515624999999999,-18.0,-0.015
215,0.375,-0.7484375000000001,-18.0,0.011
216,0.375,-0.3734375000000001,-18.0,0.009
217,0.375,0.0015624999999999112,-18.0,0.008
218,0.375,0.3765624999999999,-18.0,0.007
219,0.375,0.7515624999999999,-18.0,0.006
220,0.75,-0.7484375000000001,-18.0,0.026
221,0.75,-0.3734375000000001,-18.0,0.024
222,0.75,0.0015624999999999112,-18.0,0.023
223,0.75,0.3765624999999999,-18.0,0.022
224,0.75,0.7515624999999999,-18.0,0.021
225,-0.75,-0.7484375000000001,-16.5,-0.045
226,-0.75,-0.3734375000000001,-16.5,-0.046
227,-0.75,0.0015624999999999112,-16.5,-0.049
228,-0.75,0.3765624999999999,-16.5,-0.05
229,-0.75,0.7515624999999999,-16.5,-0.051
230,-0.375,-0.7484375000000001,-16.5,-0.028
231,-0.375,-0.3734375000000001,-16.5,-0.03
232,-0.375,0.0015624999999999112,-16.5,-0.031
233,-0.375,0.3765624999999999,-16.5,-0.033
234,-0.375,0.7515624999999999,-16.5,-0.034
235,0.0,-0.7484375000000001,-16.5,-0.008
236,0.0,-0.3734375000000001,-16.5,-0.01
237,0.0,0.0015624999999999112,-16.5,-0.013
238,0.0,0.3765624999999999,-16.5,-0.014
239,0.0,0.7515624999999999,-16.5,-0.015
240,0.375,-0.7484375000000001,-16.5,0.012
241,0.375,-0.3734375000000001,-16.5,0.011
242,0.375,0.0015624999999999112,-16.5,0.009
243,0.375,0.3765624999999999,-16.5,0.007
244,0.375,0.7515624999999999,-16.5,0.006
245,0.75,-0.7484375000000001,-16.5,0.027
246,0.75,-0.3734375000000001,-16.5,0.026
247,0.75,0.0015624999999999112,-16.5,0.024
248,0.75,0.3765624999999999,-16.5,0.023
249,0.75,0.7515624999999999,-16.5,0.021
250,-0.75,-0.7484375000000001,-15.0,-0.05
251,-0.75,-0.3734375000000001,-15.0,-0.051
252,-0.75,0.0015624999999999112,-15.0,-0.054
253,-0.75,0.3765624999999999,-15.0,-0.055
254,-0.75,0.7515624999999999,-15.0,-0.056
255,-0.375,-0.7484375000000001,-15.0,-0.03
256,-0.375,-0.3734375000000001,-15.0,-0.033
257,-0.375,0.0015624999999999112,-15.0,-0.034
258,-0.375,0.3765624999999999,-15.0,-0.036
259,-0.375,0.7515624999999999,-15.0,-0.038
260,0.0,-0.7484375000000001,-15.0,-0.008
261,0.0,-0.3734375000000001,-15.0,-0.01
262,0.0,0.0015624999999999112,-15.0,-0.013
263,0.0,0.3765624999999999,-15.0,-0.014
264,0.0,0.7515624999999999,-15.0,-0.016
265,0.375,-0.7484375000000001,-15.0,0.016
266,0.375,-0.3734375000000001,-15.0,0.014
267,0.375,0.0015624999999999112,-15.0,0.012
268,0.375,0.3765624999999999,-15.0,0.011
269,0.375,0.7515624999999999,-15.0,0.008
270,0.75,-0.7484375000000001,-15.0,0.033
271,0.75,-0.3734375000000001,-15.0,0.031
272,0.75,0.0015624999999999112,-15.0,0.029
273,0.75,0.3765624999999999,-15.0,0.028
274,0.75,0.7515624999999999,-15.0,0.026
275,-0.75,-0.7484375000000001,-13.5,-0.065
276,-0.75,-0.3734375000000001,-13.5,-0.067
277,-0.75,0.0015624999999999112,-13.5,-0.07
278,-0.75,0.3765624999999999,-13.5,-0.072
279,-0.75,0.7515624999999999,-13.5,-0.075
280,-0.375,-0.7484375000000001,-13.5,-0.038
281,-0.375,-0.3734375000000001,-13.5,-0.04
282,-0.375,0.0015624999999999112,-13.5,-0.043
283,-0.375,0.3765624999999999,-13.5,-0.045
284,-0.375,0.7515624999999999,-13.5,-0.048
285,0.0,-0.7484375000000001,-13.5,-0.007
286,0.0,-0.3734375000000001,-13.5,-0.009
287,0.0,0.0015624999999999112,-13.5,-0.013
288,0.0,0.3765624999999999,-13.5,-0.015
289,0.0,0.7515624999999999,-13.5,-0.018
290,0.375,-0.7484375000000001,-13.5,0.026
291,0.375,-0.3734375000000001,-13.5,0.023
292,0.375,0.0015624999999999112,-13.5,0.021
293,0.375,0.3765624999999999,-13.5,0.018
294,0.375,0.7515624999999999,-13.5,0.016
295,0.75,-0.7484375000000001,-13.5,0.052
296,0.75,-0.3734375000000001,-13.5,0.049
297,0.75,0.0015624999999999112,-13.5,0.047
298,0.75,0.3765624999999999,-13.5,0.044
299,0.75,0.7515624999999999,-13.5,0.042
300,-0.75,-0.7484375000000001,-12.0,-0.076
301,-0.75,-0.3734375000000001,-12.0,-0.08
302,-0.75,0.0015624999999999112,-12.0,-0.082
303,-0.75,0.3765624999999999,-12.0,-0.086
304,-0.75,0.7515624999999999,-12.0,-0.09
305,-0.375,-0.7484375000000001,-12.0,-0.043
306,-0.375,-0.3734375000000001,-12.0,-0.046
307,-0.375,0.0015624999999999112,-12.0,-0.05
308,-0.375,0.3765624999999999,-12.0,-0.053
309,-0.375,0.7515624999999999,-12.0,-0.056
