x,y,z,Bx,By
-0.6000000000000001,-0.5250000000000006,0.0,0.075,0.054
-0.6000000000000001,-0.4500000000000005,0.0,0.067,0.054
-0.6000000000000001,-0.3750000000000005,0.0,0.059,0.055
-0.6000000000000001,-0.3000000000000005,0.0,0.051,0.055
-0.6000000000000001,-0.2250000000000005,0.0,0.043,0.055
-0.6000000000000001,-0.1500000000000005,0.0,0.035,0.057
-0.6000000000000001,-0.0750000000000005,0.0,0.026,0.057
-0.6000000000000001,-5.273559366969495e-16,0.0,0.019,0.057
-0.6000000000000001,0.0749999999999994,0.0,0.009,0.057
-0.6000000000000001,0.1499999999999994,0.0,0.002,0.058
-0.6000000000000001,0.2249999999999994,0.0,-0.007,0.058
-0.6000000000000001,0.2999999999999995,0.0,-0.014,0.058
-0.6000000000000001,0.3749999999999995,0.0,-0.023,0.058
-0.6000000000000001,0.4499999999999995,0.0,-0.031,0.059
-0.6000000000000001,0.5249999999999995,0.0,-0.039,0.059
-0.6000000000000001,0.5999999999999994,0.0,-0.047,0.059
-0.6000000000000001,0.6749999999999994,0.0,-0.055,0.06
-0.6000000000000001,0.7499999999999993,0.0,-0.063,0.06
-0.5250000000000001,-0.7500000000000007,0.0,0.099,0.046
-0.5250000000000001,-0.6750000000000007,0.0,0.09,0.046
-0.5250000000000001,-0.6000000000000008,0.0,0.081,0.047
-0.5250000000000001,-0.5250000000000008,0.0,0.074,0.047
-0.5250000000000001,-0.4500000000000008,0.0,0.065,0.047
-0.5250000000000001,-0.3750000000000008,0.0,0.057,0.048
-0.5250000000000001,-0.3000000000000007,0.0,0.049,0.048
-0.5250000000000001,-0.2250000000000007,0.0,0.04,0.048
-0.5250000000000001,-0.1500000000000007,0.0,0.033,0.049
-0.5250000000000001,-0.0750000000000007,0.0,0.024,0.049
-0.5250000000000001,-7.494005416219808e-16,0.0,0.016,0.049
-0.5250000000000001,0.0749999999999992,0.0,0.007,0.049
-0.5250000000000001,0.1499999999999992,0.0,-0.001,0.051
-0.5250000000000001,0.2249999999999992,0.0,-0.009,0.051
-0.5250000000000001,0.2999999999999992,0.0,-0.017,0.051
-0.5250000000000001,0.3749999999999993,0.0,-0.026,0.051
-0.5250000000000001,0.4499999999999993,0.0,-0.033,0.052
-0.5250000000000001,0.5249999999999992,0.0,-0.042,0.052
-0.5250000000000001,0.5999999999999992,0.0,-0.049,0.052
-0.5250000000000001,0.6749999999999992,0.0,-0.058,0.052
-0.5250000000000001,0.7499999999999991,0.0,-0.065,0.053
-0.4500000000000001,-0.7500000000000009,0.0,0.097,0.038
-0.4500000000000001,-0.6750000000000009,0.0,0.089,0.038
-0.4500000000000001,-0.600000000000001,0.0,0.08,0.039
-0.4500000000000001,-0.525000000000001,0.0,0.072,0.039
-0.4500000000000001,-0.450000000000001,0.0,0.064,0.039
-0.4500000000000001,-0.375000000000001,0.0,0.056,0.039
-0.4500000000000001,-0.300000000000001,0.0,0.048,0.041
-0.4500000000000001,-0.2250000000000009,0.0,0.039,0.041
-0.4500000000000001,-0.1500000000000009,0.0,0.031,0.041
-0.4500000000000001,-0.0750000000000009,0.0,0.023,0.042
-0.4500000000000001,-9.71445146547012e-16,0.0,0.015,0.042
-0.4500000000000001,0.074999999999999,0.0,0.005,0.042
-0.4500000000000001,0.149999999999999,0.0,-0.002,0.042
-0.4500000000000001,0.224999999999999,0.0,-0.011,0.043
-0.4500000000000001,0.299999999999999,0.0,-0.018,0.043
-0.4500000000000001,0.374999999999999,0.0,-0.027,0.043
-0.4500000000000001,0.449999999999999,0.0,-0.034,0.043
-0.4500000000000001,0.524999999999999,0.0,-0.043,0.044
-0.4500000000000001,0.599999999999999,0.0,-0.051,0.044
-0.4500000000000001,0.6749999999999989,0.0,-0.059,0.044
-0.4500000000000001,0.7499999999999989,0.0,-0.067,0.046
-0.3750000000000001,-0.7500000000000011,0.0,0.096,0.031
-0.3750000000000001,-0.6750000000000012,0.0,0.087,0.031
-0.3750000000000001,-0.6000000000000012,0.0,0.079,0.032
-0.3750000000000001,-0.5250000000000012,0.0,0.071,0.032
-0.3750000000000001,-0.4500000000000012,0.0,0.062,0.032
-0.3750000000000001,-0.3750000000000012,0.0,0.055,0.033
-0.3750000000000001,-0.3000000000000012,0.0,0.046,0.033
-0.3750000000000001,-0.2250000000000012,0.0,0.039,0.033
-0.3750000000000001,-0.1500000000000012,0.0,0.03,0.033
-0.3750000000000001,-0.0750000000000011,0.0,0.021,0.034
-0.3750000000000001,-1.1934897514720433e-15,0.0,0.014,0.034
-0.3750000000000001,0.0749999999999988,0.0,0.005,0.034
-0.3750000000000001,0.1499999999999988,0.0,-0.003,0.036
-0.3750000000000001,0.2249999999999988,0.0,-0.012,0.036
-0.3750000000000001,0.2999999999999988,0.0,-0.019,0.036
-0.3750000000000001,0.3749999999999988,0.0,-0.028,0.036
-0.3750000000000001,0.4499999999999988,0.0,-0.036,0.037
